
Iteration 1
6 (50, 1, 75, 60) 46.66707094707082 (10, 10) 0.999999999999999
7 (50, 2, 75, 60) 48.31252352577219 (10, 10) 0.9999999999999992
8 (50, 5, 35, 40) 54.53691364434386 (10, 10) 1.6511435761409332 unique
9 (50, 1, 65, 55) 77.7433152968374 (10, 10) 0.9999999999999977
10 (50, 2, 65, 55) 78.65475694974955 (10, 10) 0.9999999999999993
11 (50, 1, 75, 65) 87.68711478838763 (10, 10) 0.9999999999999993
12 (50, 3, 75, 60) 91.54148780727208 (10, 10) 0.9999999999999987
13 (50, 2, 75, 65) 92.59024314736556 (10, 10) 0.9999999999999974
14 (50, 3, 75, 55) 94.24910662177707 (10, 10) 0.9999999999999976
15 (50, 1, 70, 55) 103.63864939362618 (10, 10) 0.9999999999999987
16 (50, 1, 65, 60) 105.25320861637331 (10, 10) 0.9999999999999989
17 (50, 4, 40, 45) 106.52134439195737 (10, 10) 1.2302611083328647
18 (50, 2, 70, 55) 107.66647662206131 (10, 10) 0.9999999999999987
19 (50, 1, 75, 70) 108.96667668645674 (10, 10) 0.9999999999999983
20 (50, 2, 65, 60) 119.35471411116092 (10, 10) 0.9999999999999988
21 (50, 1, 55, 55) 119.7741093029527 (10, 10) 0.9999999999999982
22 (50, 1, 65, 65) 121.45884457083014 (10, 10) 0.9999999999999983
23 (50, 3, 75, 65) 122.86383660194925 (10, 10) 0.9999999999999993
24 (50, 3, 70, 55) 135.935166301028 (10, 10) 0.9999999999999984
25 (50, 1, 75, 75) 136.0718872909365 (10, 10) 0.9999999999999989
26 (50, 3, 65, 55) 136.28722607121637 (10, 10) 0.9999999999999989
27 (50, 2, 75, 70) 142.71655677924903 (10, 10) 0.9999999999999971
28 (50, 4, 35, 45) 156.05508035242525 (10, 10) 1.358299416229203
29 (50, 8, 40, 40) 158.78108772706534 (10, 10) 1.990236010086547 unique
30 (50, 1, 75, 45) 177.37938489711416 (10, 10) 0.9999999999999992
31 (50, 1, 70, 45) 180.93699536879106 (10, 10) 0.9999999999999993
32 (50, 1, 65, 45) 182.13748131783655 (10, 10) 0.9999999999999979
{(50, 5, 30, 45): 18.77584915914776, (50, 9, 35, 40): 24.416461488920998, (50, 1, 75, 55): 31.88428283991836, (50, 2, 75, 55): 42.528740156773324, (50, 4, 30, 45): 42.942219625941526, (50, 1, 75, 60): 46.66707094707082, (50, 2, 75, 60): 48.31252352577219, (50, 5, 35, 40): 54.53691364434386, (50, 1, 65, 55): 77.7433152968374, (50, 2, 65, 55): 78.65475694974955, (50, 1, 75, 65): 87.68711478838763, (50, 3, 75, 60): 91.54148780727208, (50, 2, 75, 65): 92.59024314736556, (50, 3, 75, 55): 94.24910662177707, (50, 1, 70, 55): 103.63864939362618, (50, 1, 65, 60): 105.25320861637331, (50, 4, 40, 45): 106.52134439195737, (50, 2, 70, 55): 107.66647662206131, (50, 1, 75, 70): 108.96667668645674, (50, 2, 65, 60): 119.35471411116092, (50, 1, 55, 55): 119.7741093029527, (50, 1, 65, 65): 121.45884457083014, (50, 3, 75, 65): 122.86383660194925, (50, 3, 70, 55): 135.935166301028, (50, 1, 75, 75): 136.0718872909365, (50, 3, 65, 55): 136.28722607121637, (50, 2, 75, 70): 142.71655677924903, (50, 4, 35, 45): 156.05508035242525, (50, 8, 40, 40): 158.78108772706534, (50, 1, 75, 45): 177.37938489711416, (50, 1, 70, 45): 180.93699536879106, (50, 1, 65, 45): 182.13748131783655}

Iterration 3
1 (50, 8, 25, 35) 11.106315691589094 (10, 10) 2.636942640985969 bad
2 (50, 1, 75, 55) 31.88428283991836 (10, 10) 0.9999999999999976
3 (50, 7, 40, 45) 32.15560058342416 (10, 10) 1.931427505660828 unique
4 (50, 2, 75, 55) 42.528740156773324 (10, 10) 0.9999999999999984
5 (50, 1, 75, 60) 46.66707094707082 (10, 10) 0.9999999999999992
6 (50, 2, 75, 60) 48.31252352577219 (10, 10) 0.9999999999999989
7 (50, 3, 25, 40) 68.0497194765099 (10, 10) 1.3547831730238316 unique
8 (50, 1, 65, 55) 77.7433152968374 (10, 10) 0.9999999999999984
9 (50, 2, 65, 55) 78.65475694974955 (10, 10) 0.9999999999999987
10 (50, 1, 75, 65) 87.68711478838763 (10, 10) 0.9999999999999993
11 (50, 3, 75, 60) 91.54148780727208 (10, 10) 0.9999999999999988
12 (50, 2, 75, 65) 92.59024314736556 (10, 10) 0.9999999999999987
13 (50, 3, 75, 55) 94.24910662177707 (10, 10) 0.9999999999999996
14 (50, 1, 70, 55) 103.63864939362618 (10, 10) 0.9999999999999989
15 (50, 1, 65, 60) 105.25320861637331 (10, 10) 0.9999999999999984
16 (50, 4, 40, 45) 106.52134439195737 (10, 10) 1.2165833015403058
17 (50, 2, 70, 55) 107.66647662206131 (10, 10) 0.9999999999999979
18 (50, 1, 75, 70) 108.96667668645674 (10, 10) 0.9999999999999989
19 (50, 2, 65, 60) 119.35471411116092 (10, 10) 0.9999999999999981
20 (50, 1, 55, 55) 119.7741093029527 (10, 10) 0.9999999999999978
21 (50, 1, 65, 65) 121.45884457083014 (10, 10) 0.9999999999999979
22 (50, 3, 75, 65) 122.86383660194925 (10, 10) 0.9999999999999987
23 (50, 3, 70, 55) 135.935166301028 (10, 10) 0.9999999999999983
24 (50, 1, 75, 75) 136.0718872909365 (10, 10) 0.9999999999999992
25 (50, 3, 65, 55) 136.28722607121637 (10, 10) 0.9999999999999992
26 (50, 2, 75, 70) 142.71655677924903 (10, 10) 0.9999999999999996
27 (50, 1, 75, 45) 177.37938489711416 (10, 10) 0.999999999999999
28 (50, 1, 70, 45) 180.93699536879106 (10, 10) 0.9999999999999992
29 (50, 1, 65, 45) 182.13748131783655 (10, 10) 1.0000000000000002
30 (50, 2, 55, 55) 182.66137223384632 (10, 10) 0.9999999999999984 unique
31 (50, 1, 60, 45) 188.06755299238972 (10, 10) 0.999999999999997 unique
32 (50, 2, 75, 45) 189.83523611563993 (10, 10) 0.9999999999999989 unique
{(50, 8, 25, 35): 11.106315691589094, (50, 1, 75, 55): 31.88428283991836, (50, 7, 40, 45): 32.15560058342416, (50, 2, 75, 55): 42.528740156773324, (50, 1, 75, 60): 46.66707094707082, (50, 2, 75, 60): 48.31252352577219, (50, 3, 25, 40): 68.0497194765099, (50, 1, 65, 55): 77.7433152968374, (50, 2, 65, 55): 78.65475694974955, (50, 1, 75, 65): 87.68711478838763, (50, 3, 75, 60): 91.54148780727208, (50, 2, 75, 65): 92.59024314736556, (50, 3, 75, 55): 94.24910662177707, (50, 1, 70, 55): 103.63864939362618, (50, 1, 65, 60): 105.25320861637331, (50, 4, 40, 45): 106.52134439195737, (50, 2, 70, 55): 107.66647662206131, (50, 1, 75, 70): 108.96667668645674, (50, 2, 65, 60): 119.35471411116092, (50, 1, 55, 55): 119.7741093029527, (50, 1, 65, 65): 121.45884457083014, (50, 3, 75, 65): 122.86383660194925, (50, 3, 70, 55): 135.935166301028, (50, 1, 75, 75): 136.0718872909365, (50, 3, 65, 55): 136.28722607121637, (50, 2, 75, 70): 142.71655677924903, (50, 1, 75, 45): 177.37938489711416, (50, 1, 70, 45): 180.93699536879106, (50, 1, 65, 45): 182.13748131783655, (50, 2, 55, 55): 182.66137223384632, (50, 1, 60, 45): 188.06755299238972, (50, 2, 75, 45): 189.83523611563993}

Iteration 4
1 (50, 7, 35, 40) 26.527003102435227 (10, 10) 2.127250234224531 bad
2 (50, 1, 75, 55) 31.88428283991836 (10, 10) 0.9999999999999989
3 (50, 2, 75, 55) 42.528740156773324 (10, 10) 0.9999999999999989
4 (50, 4, 30, 45) 42.942219625941526 (10, 10) 1.5680235563875766 unqiue
5 (50, 1, 75, 60) 46.66707094707082 (10, 10) 0.9999999999999988
6 (50, 2, 75, 60) 48.31252352577219 (10, 10) 0.9999999999999987
7 (50, 3, 25, 40) 68.0497194765099 (10, 10) 1.3843438197021882
8 (50, 1, 65, 55) 77.7433152968374 (10, 10) 0.9999999999999994
9 (50, 2, 65, 55) 78.65475694974955 (10, 10) 0.999999999999999
10 (50, 4, 35, 40) 81.8510056251662 (10, 10) 1.2881836188119251 unique
11 (50, 4, 30, 40) 84.01366396255871 (10, 10) 1.4738814504809243 unique
12 (50, 1, 75, 65) 87.68711478838763 (10, 10) 0.9999999999999982
13 (50, 3, 75, 60) 91.54148780727208 (10, 10) 0.9999999999999978
14 (50, 2, 75, 65) 92.59024314736556 (10, 10) 0.9999999999999972
15 (50, 3, 75, 55) 94.24910662177707 (10, 10) 0.9999999999999989
16 (50, 1, 70, 55) 103.63864939362618 (10, 10) 0.9999999999999989
17 (50, 1, 65, 60) 105.25320861637331 (10, 10) 0.9999999999999983
18 (50, 4, 40, 45) 106.52134439195737 (10, 10) 1.2694018255943456
19 (50, 2, 70, 55) 107.66647662206131 (10, 10) 0.9999999999999978
20 (50, 1, 75, 70) 108.96667668645674 (10, 10) 0.9999999999999994
21 (50, 2, 65, 60) 119.35471411116092 (10, 10) 0.9999999999999993
22 (50, 1, 55, 55) 119.7741093029527 (10, 10) 0.9999999999999993
23 (50, 1, 65, 65) 121.45884457083014 (10, 10) 0.9999999999999987
24 (50, 3, 75, 65) 122.86383660194925 (10, 10) 0.9999999999999983
25 (50, 3, 70, 55) 135.935166301028 (10, 10) 0.9999999999999958
26 (50, 1, 75, 75) 136.0718872909365 (10, 10) 0.9999999999999994
27 (50, 3, 65, 55) 136.28722607121637 (10, 10) 0.9999999999999983
28 (50, 3, 30, 45) 138.6056000572346 (10, 10) 1.1737049165363245 unique
29 (50, 2, 75, 70) 142.71655677924903 (10, 10) 0.9999999999999974
30 (50, 8, 40, 40) 158.78108772706534 (10, 10) 2.1489086874322165 bad
31 (50, 1, 75, 45) 177.37938489711416 (10, 10) 0.9999999999999978
32 (50, 7, 45, 45) 179.95082015989044 (10, 10) 1.7555460822183675 unqiue
